,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
833,0,13.43011032,0,1.918587189,0,13.43011032,6.796467973,0.275386607,13.43011032,0.959293595,1,0.157395145,28.18587189,1,0,24.47081673,1,1,0.157395145,27.7376524,6.808063177,1285.530705,0.062937163,27.08141281,0.14691764,71.41837253,188.811489,0.157395145,6.715055162,6.715055162,29.18587189,0.275386607,15.08141281,12,66.18587189,59.94163346,24.47081673,0.071058786,26.38940392,1
886,0,16.52161875,5.546721432,12.17991785,12.31659821,10,16.17991785,0.399440316,8.136680358,1,7.726639284,0.493100294,48.97489732,8.453278568,0.465829911,39.97489732,2.136680358,8.453278568,0.506899706,38.15231937,11.93703948,5436.212051,0.151804885,56.27336072,0.083773494,302.0117806,455.4146545,0.506899706,5,5.931659821,41.31659821,0.305083104,31.34170089,24.93165982,155.2231553,118.6080937,52.29149553,0.37065166,52.15481517,1
602,0,0,0.145183826,0.854816174,5.226617719,0,1,0.053297457,0,0,1,1,2.580735302,1,0,20.96742644,3.709632349,1,1,26.79918721,7.349194594,1444.121039,0.065544478,30.5807353,0.136192328,80.22894661,196.6334351,1,0,0,3.580735302,0.040392228,17.43555148,13.14518383,46.98371322,39.96742644,26.19404416,0.151764404,21.82224262,1
528,1,4,13,4,16,8,3,0.214285714,4,2,2,0.666666667,15,2,0.5,14,2,2,0.666666667,41.04652842,7.657657658,2406.956966,0.104773421,42,0.130588235,133.7198315,314.3202626,0.666666667,4,4,14,0.096774194,25,17,111,68,31,0.588235319,18,0
36,1,10,18,0,3,10,7,0.225806452,10,1,5,0.714285714,40,3,0.333333333,31,3,1,0.142857143,35.40300834,15,7965.676876,0.177015042,65,0.066666667,442.5376042,531.0451251,0.428571429,5,5,35,0.2,42,23,168,120,35,0.088235296,31,0
661,8,8,6,30,0,12,5,0.263157895,8,1,3,0.6,27,3,0.5,19,3,2,0.4,33.05946524,9.978723404,3291.893632,0.109963753,45,0.10021322,182.8829796,329.8912595,0.6,6,6,24,0.185185185,28,17,94,67,27,0.612244904,49,1
734,1.249243407,4.999394725,6.497881539,11.00121055,40.25469088,3.500302637,3.499697363,0.156300806,3.500302637,1,1,0.300020176,25.74773022,1,0,22.49788154,1.750151319,1.249848681,0.349989912,52.34885216,18.75168964,17010.36365,0.309916709,112.2546909,0.055219347,945.0202027,929.7501283,0.300020176,1.750151319,1.750151319,24.49788154,0.056302381,91.50514483,20.74954604,219.5081712,92.24076956,64.00181582,0.671929845,33.49909209,1
192,8,0,20,0,16,0,3,0.111111111,0,0,2,0.666666667,25,1,0,27,4,1,0.333333333,34.63887868,21.14285714,15484.28568,0.244121621,89,0.047297297,860.2380936,732.3648635,0.333333333,0,0,24,0.058823529,72,17,189,111,51,0.372093022,27,0
429,0,4,0,0,1,4,2,0.2,4,1,1,0.5,10,1,0,10,3,1,0.5,41.68332561,4.623287671,890.9722852,0.064238002,28,0.216296296,49.49846029,192.7140054,0.5,2,2,11,0.181818182,15,13,73,45,11,0.090909094,10,0
290,0,0,0,2,6,0,1,0.111111111,0,0,1,1,1,1,0,9,3,1,1,41.871517,4.576923077,877.133953,0.063880904,33,0.218487395,48.72966406,191.6427124,1,0,0,2,0.066666667,21,12,39,17,15,0.470588237,11,0
393,1,0,2,0,0,0,1,0.2,0,0,1,1,1,1,0,5,2,1,1,26.49720922,3.333333333,294.4134357,0.029441344,18,0.3,16.35630199,88.32403072,1,0,0,2,0.166666667,10,8,18,12,6,0,5,0
408,0,0,0,0,0,0,1,0.2,0,0,1,1,1,1,0,5,3,1,1,38.86297409,2.913793103,329.9540437,0.037746222,21,0.343195266,18.3307802,113.2386659,1,0,0,2,0.2,13,8,29,13,5,0,5,0
115,1,8,0,12,14,10,5,0.208333333,8,1,2,0.4,30,2,0.25,24,4,1,0.2,31.17195538,9.2,2638.394303,0.095593996,38,0.108695652,146.5774613,286.7819895,0.4,5,5,27,0.128205128,19,19,95,92,39,0.519999981,36,0
409,0,4,0,0,0,4,2,0.222222222,4,1,1,0.5,9,1,0,9,2,1,0.5,31.53327421,4.513888889,642.4965449,0.047445899,24,0.221538462,35.69425249,142.3376961,0.5,2,2,10,0.222222222,13,11,36,25,9,0,9,0
681,8.4338618,5.874191511,0.5661382,7.314521222,0.188712733,5.874191511,3.937095756,0.301816637,5.874191511,1,1.062904244,0.276210102,17.74838302,2.874191511,0.624730504,13.06290424,2.874191511,1.937095756,0.489515959,36.50417682,6.871345352,1723.63402,0.083612589,35.93709576,0.145532526,95.75744555,250.8377665,0.723789898,2.937095756,2.937095756,15.81128727,0.181481796,18.25161698,17.68547878,71.93709576,54.30805331,21.68547878,0.360520186,20.37742547,1
719,8.661271343,14,30.12204661,0,1.43088371,12.86176742,7.523038763,0.154950931,8.86176742,1,2.56911629,0.329656701,60.52303876,2.476961237,0.233706902,48.52303876,3.953922473,1.523038763,0.19889701,39.08268286,20.74952053,16832.61782,0.27033937,91.33872866,0.048202188,935.1454344,811.0181087,0.33517165,6.43088371,6.43088371,55,0.128215402,67,24.33872866,294.0896747,181.875473,58.61519382,0.028056544,48.52303876,1
419,0,0,0,1,0,0,1,0.2,0,0,1,1,1,1,0,5,3,1,1,38.86297409,2.913793103,329.9540437,0.037746222,21,0.343195266,18.3307802,113.2386659,1,0,0,2,0.2,13,8,29,13,5,0.166666672,6,0
355,0,0,0,0,8,0,1,0.25,0,0,1,1,1,1,0,4,1,1,1,19.73917944,3.666666667,265.3823014,0.024125664,16,0.272727273,14.74346119,72.3769913,1,0,0,2,0.083333333,8,8,12,11,12,0.666666687,4,0
292,6,6,7,0,0,6,3,0.142857143,6,1,1,0.333333333,25,2,0.5,21,1,2,0.666666667,29.61279999,9.226190476,2520.718253,0.091071111,38,0.108387097,140.0399029,273.2133332,0.666666667,3,3,24,0.111111111,25,13,84,62,27,0,21,0
187,13,6,34,0,16,8,3,0.085714286,6,1,1,0.333333333,35,1,0,35,4,1,0.333333333,33.81666554,25.64541833,22240.79758,0.289080845,100,0.03899332,1235.599866,867.2425342,0.333333333,4,4,35,0.046875,82,18,251,157,64,0.313725501,35,0
510,0,0,0,0,1,0,1,0.5,0,0,1,1,0,1,0,2,3,1,1,18.68554442,3.5,228.8979191,0.021799802,16,0.285714286,12.71655106,65.39940546,1,0,0,1,0.333333333,10,6,10,7,3,0.333333343,2,0
524,0,10,6,0,42,14,5,0.217391304,10,1,2,0.4,26,1,0,23,2,1,0.2,31.50012273,9.396341463,2781.184673,0.09866197,41,0.1064244,154.5102596,295.9859093,0.2,7,7,25,0.076923077,23,18,82,67,65,0.646153867,23,0
253,0,6,16,0,2,10,4,0.25,6,1,3,0.75,18,2,0.333333333,16,2,3,0.75,37.93783725,8.942307692,3033.694105,0.113083938,46,0.111827957,168.5385614,339.2518138,0.5,5,5,16,0.222222222,30,16,104,62,18,0.111111112,16,0
520,0,0,0,1,52,0,1,0.25,0,0,1,1,1,1,0,4,2,1,1,29.7861495,5.666666667,956.4663562,0.056262727,26,0.176470588,53.13701979,168.7881805,1,0,0,2,0.017857143,17,9,54,36,56,0.929824591,5,0
586,1,10,4,0,17,10,5,0.2,10,1,2,0.4,29,2,0.25,25,2,1,0.2,34.06523593,9.41011236,3016.483952,0.106852566,44,0.106268657,167.5824418,320.5576976,0.4,5,7,26,0.11627907,25,19,89,67,43,0.40476191,25,0
388,1,0,2,0,0,0,1,0.2,0,0,1,1,1,1,0,5,2,1,1,26.49720922,3.333333333,294.4134357,0.029441344,18,0.3,16.35630199,88.32403072,1,0,0,2,0.166666667,10,8,18,12,6,0,5,0
504,0,0,0,0,1,0,1,0.5,0,0,1,1,0,1,0,2,2,1,1,21.32118756,2.5,133.2574223,0.017767656,14,0.4,7.403190126,53.30296891,1,0,0,1,0.333333333,9,5,9,5,3,0.333333343,2,0
832,0.864358095,1.728716191,2.593074286,1.728716191,0,1.728716191,1.135641905,0.109042794,1.728716191,0.864358095,1,0.932179048,8.135641905,1,0,10.27128381,1.864358095,1,0.932179048,28.11106144,6.317688157,1122.027001,0.059199616,29,0.158285839,62.33483338,177.5988492,0.932179048,0.864358095,0.864358095,9.135641905,0.101184993,16.1356419,12.8643581,39.22077714,30.67820952,11.1356419,0.144059687,12,1
521,0,2,3,3,38,2,1,0.125,2,1,1,1,6,1,0,8,1,1,1,27.47581025,5.161290323,731.9258506,0.047270211,25,0.19375,40.66254725,141.8106335,1,1,1,7,0.02173913,16,9,31,20,46,0.836734712,11,0
829,12.67101692,4.131593232,2.098694924,37.78276261,0,4.197389848,3.032898308,0.14546812,4.131593232,1,1.032898308,0.338816384,21.19738985,1,0,20.90130508,2,1.032898308,0.338816384,34.37154862,8.020465801,2211.035954,0.091890577,39,0.124684004,122.8353308,275.6717329,0.330591807,2.098694924,2.098694924,20.16449154,0.091598846,21.13159323,17.86840677,76.29608477,57.93420338,33.572322,0.631905907,58.68406768,1
385,1,0,2,0,0,0,1,0.2,0,0,1,1,1,1,0,5,2,1,1,26.49720922,3.333333333,294.4134357,0.029441344,18,0.3,16.35630199,88.32403072,1,0,0,2,0.166666667,10,8,18,12,6,0,5,0
25,1,6,13,0,0,2,4,0.25,2,1,2,0.5,15,1,0,16,2,2,0.5,28.54808811,11.72413793,3924.089162,0.111567241,46,0.085294118,218.0049534,334.7017226,0.25,1,1,13,0.235294118,30,16,87,68,17,0,16,0
317,0,0,2,2,0,0,1,0.2,0,0,1,1,2,1,0,5,1,1,1,19.57575758,4.852941176,461.0294118,0.031666667,19,0.206060606,25.6127451,95,1,0,0,3,0.2,11,8,17,15,5,0.285714298,7,0
738,0,6,7,5,0,8,3,0.1875,6,1,2,0.666666667,18,1,0,16,2,1,0.333333333,29.92507847,10.16883117,3094.40655,0.101434357,43,0.098339719,171.911475,304.3030707,0.333333333,4,4,17,0.1875,27,16,77,58,16,0.238095239,21,1
816,0.569757166,11.13951433,22.68587182,4.418542995,1.290728502,5.441942673,7.848785829,0.236727429,5.441942673,1,7.418542995,0.913951433,35.56975717,1,0,32.26732882,3.430242834,6.127814493,0.655805733,43.33927124,11.45460409,5666.031729,0.165119791,60,0.087366594,314.7795405,495.3593742,0.143024283,2.720971336,2.720971336,29.72097134,0.224115895,38.27902866,21.72097134,201.0801314,117.9064013,34.12781449,0.148008898,36.68587182,1
267,1,4,6,0,2,12,3,0.0625,4,3,1,0.333333333,15,1,0,48,5,1,0.333333333,48.91239552,11.56374502,6540.575257,0.188536823,66,0.086477175,363.3652921,565.6104701,0.333333333,6,6,14,0.058823529,45,21,251,129,51,0.039999999,48,0
47,6,8,7,0,0,12,5,0.217391304,8,1,4,0.8,30,2,0.25,23,1,1,0.2,27.73519102,13.29545455,4902.725077,0.122917324,50,0.075213675,272.3736154,368.7519716,0.4,6,6,27,0.172413793,30,20,88,78,29,0,23,0
381,2,8,9,0,0,16,6,0.3,8,2,5,0.833333333,26,2,0.2,20,3,3,0.5,37.43323501,9.411764706,3315.885178,0.1174376,48,0.10625,184.2158432,352.3128001,0.333333333,8,8,22,0.272727273,32,16,102,60,22,0,20,0
260,0,8,16,0,2,10,5,0.192307692,6,1,3,0.6,29,2,0.25,26,2,3,0.6,38.87630088,14.44039735,8106.683583,0.187129744,71,0.069250172,450.3713102,561.3892323,0.4,5,5,27,0.178571429,49,22,151,89,28,0.071428575,26,0
310,1,0,1,1,0,0,1,0.2,0,0,1,1,2,1,0,5,2,1,1,25.86868779,3.9,393.4627413,0.033629294,20,0.256410256,21.85904118,100.8878824,1,0,0,3,0.166666667,12,8,20,13,6,0.166666672,6,0
788,6.783327701,3.876187258,1.092859557,11.62856177,4.845234072,3.876187258,2.938093629,0.266864927,3.876187258,0.969046814,1,0.35396879,13.7833277,1.969046814,0.484523407,11.03095319,2,1,0.35396879,29.54405676,7.062258955,1473.599922,0.069550767,32.06190637,0.141598787,81.8666623,208.6523025,0.676984396,1.938093629,1.938093629,12.84523407,0.128976843,18.06190637,14,51.06190637,39.93809363,22.65951496,0.58834986,22.65951496,1
135,0,2,4,0,0,4,2,0.153846154,2,2,1,0.5,11,1,0,13,2,1,0.5,27.06676427,9.068627451,2225.970798,0.081819467,38,0.11027027,123.6650443,245.4584015,0.5,2,2,11,0.153846154,25,13,51,37,13,0,13,0
3,10,2,5,0,2,4,2,0.125,2,2,2,1,13,1,0,16,2,1,0.5,34.42327166,7.542857143,1958.501503,0.08654994,38,0.132575758,108.8056391,259.6498205,0.5,2,2,13,0.071428571,24,14,70,44,28,0.111111112,16,0
688,11.35944653,6.453148844,0.773425578,24.81259538,0,8,3.453148844,0.211328721,6.453148844,1,1,0.30312341,20.0391698,1.453148844,0.113287211,16.13287211,2,1.226574422,0.348438295,32.82816111,7.957312262,2068.068455,0.086758588,38.77342558,0.125933014,114.8926919,260.2757626,0.393753179,4,4,18.58602096,0.124279739,21.09370231,17.67972327,61.02380709,46.57065824,27.49231864,0.605847733,40.94546749,1
702,4.77383473,4.817443513,17.43458683,30.28751777,31.98225629,7.634887026,2.704360878,0.085107324,4.817443513,1,1,0.38260652,33.11308263,1,0,31.70436088,1.591278243,1,0.38260652,38.44133526,14.08146892,7614.790076,0.180146445,66.70436088,0.071171135,423.0438931,540.4393343,0.38260652,3.817443513,3.817443513,32.40872176,0.042312523,45.18255649,21.52180439,170.4168431,106.2778954,68.4604519,0.660561767,61.99187864,1
752,0.688969533,5.899637101,3.688969533,21.63200271,15.9665457,0,8.210667568,0.349095789,0,0,1,0.399111036,20.11030467,1,0,19.8327285,1.655515233,1,0.399111036,27.41187028,13.67107413,5122.868537,0.124903493,53,0.073157263,284.6038076,374.710479,0.399111036,0,0,15.8661828,0.200539481,35.72242383,17.27757617,76.0669086,58.31103047,36.48824374,0.637959609,41.46473121,1
458,0,0,0,0,0,0,1,0.25,0,0,1,1,1,1,0,4,2,1,1,27.90376161,4.5,565.0511725,0.041855642,23,0.222222222,31.39173181,125.5669272,1,0,0,2,0.25,13,10,26,18,4,0,4,0
782,2.783424367,0,0.927808122,0,5.566848733,0,1,0.172682657,0,0,1,1,1.927808122,1,0,5.855616244,8.494656855,1,1,56.07977291,3.781744609,782.9476874,0.069596616,33.56684873,0.266965047,43.49709375,208.7898467,1,0,0,2.927808122,0.079901845,23.42246498,10.14438376,56.68985991,18,14.20588934,0.463904061,5.855616244,1
563,3,10,8,21,63,14,6,0.2,10,1,2,0.333333333,36,2,0.2,30,2,3,0.5,38.52422938,12.04651163,5590.576163,0.154694192,60,0.083011583,310.5875646,464.0825772,0.333333333,7,7,33,0.0625,37,23,129,84,96,0.736842096,51,0
378,1,0,3,0,0,0,1,0.142857143,0,0,1,1,3,1,0,7,2,1,1,24.25342627,5.145833333,642.2210432,0.041601363,23,0.194331984,35.67894684,124.8040894,1,0,0,4,0.125,13,10,24,19,8,0,7,0
799,0,0.754558747,1.892205893,2.946102947,0,0.754558747,1.32338232,0.172775,0.754558747,0.053897053,1,0.953802526,4.401323388,1,0,7.024044014,1.946102947,1,0.953802526,38.69504708,5.779737242,1286.788093,0.074329706,35.51492652,0.173295734,71.48822735,222.9891178,0.953802526,0.377279374,0.377279374,5.401323388,0.172775,21.62272063,13.89220589,50.91624991,27.88639687,7.024044014,0.319360032,9.970146961,1
852,0,3.317369142,8.146711428,9.952107426,2.488026857,3.317369142,2.658684571,0.19193768,3.317369142,0.829342286,1.829342286,0.723552572,12.805396,1,0,13.65868457,1.170657714,1,0.447105143,34.41532053,6.877128207,1625.281164,0.078821495,34.82934229,0.145461976,90.29339803,236.464485,0.447105143,1.658684571,1.658684571,12.14671143,0.160575997,21.65868457,13.17065771,67.92816114,42.97605371,16.14671143,0.428970131,23.610792,1
286,10,18,25,0,5,22,10,0.166666667,18,1,1,0.1,67,1,0,60,3,1,0.1,35.32059612,25.50474684,22975.76914,0.300280954,100,0.039208388,1276.431619,900.8428622,0.1,11,11,66,0.133333333,81,19,316,199,75,0.07692308,60,0
855,13.32797166,6.854844999,0.381718334,25.27422499,3.435465004,7.236563332,4.427422499,0.234095069,6.854844999,1.190859167,1,0.25725775,23.94625333,2.618281666,0.404570417,18.47312666,1.809140833,1.809140833,0.419085917,37.36928087,7.334844233,2009.823254,0.09134846,38.38171833,0.136344445,111.6568474,274.0453804,0.580914083,3.618281666,3.618281666,21.51883083,0.124309369,18.76343667,19.61828167,80.03766166,63.46508416,35.23656333,0.608808923,43.74735166,1
391,1,2,8,0,1,6,2,0.222222222,2,3,2,1,8,1,0,9,2,1,0.5,30.94316382,5.636363636,983.0208406,0.058135641,28,0.177419355,54.61226892,174.4069233,0.5,3,3,8,0.181818182,16,12,44,31,11,0.100000001,9,0
650,2.184416449,5.375881015,1.687940507,18.87940507,1.560297463,8.127643044,3,0.222695236,5.375881015,1,1,0.333333333,14,1.312059493,0.156029746,13.75176203,2,1,0.333333333,30.59833391,6.96543794,1484.021033,0.071028118,32.68794051,0.143577612,82.44561294,213.0843542,0.437353164,4.063821522,4.063821522,14.37588101,0.178291514,18,14.68794051,51.68794051,40,17.49647594,0.598510404,32.6311671,1
218,0,0,0,0,10,0,1,0.25,0,0,1,1,1,1,0,4,2,1,1,20.63233125,4,330.1173001,0.027509775,18,0.25,18.33985,82.52932501,1,0,0,2,0.071428571,8,10,12,12,14,0.714285731,4,0
150,0,4,9,0,22,4,2,0.117647059,4,1,1,0.5,17,1,0,17,1,1,0.5,35.2834791,7.795698925,2144.280114,0.09168646,38,0.128275862,119.126673,275.0593801,0.5,2,2,17,0.051282051,25,13,93,58,39,0.56410259,17,0
397,1,0,2,0,0,0,1,0.2,0,0,1,1,1,1,0,5,2,1,1,27.73812535,3.184210526,281.2423083,0.029441344,18,0.314049587,15.62457269,88.32403072,1,0,0,2,0.166666667,11,7,19,11,6,0,5,0
758,17.46208809,6,50.86264264,0,85.29615015,8.924176176,4.462088088,0.078147164,6,1,2.848352353,0.596566066,64.710995,1,0,60.17308309,2,1,0.226895596,36.84430782,32.63335517,39157.67072,0.400329443,127.3104404,0.030651192,2175.42615,1200.988329,0.226895596,4.462088088,4.462088088,62.24890691,0.027303961,103.082969,24.22747147,435.8181722,271.9813373,162.9313213,0.591131237,60.17308309,1
241,7,4,6,0,12,4,3,0.142857143,4,1,1,0.333333333,19,1,0,21,3,1,0.333333333,29.95474738,12.73863636,4860.842421,0.127194211,53,0.078501338,270.0468012,381.5826343,0.333333333,2,2,20,0.075,38,15,88,59,40,0.363636374,21,0
412,0,0,0,0,0,0,1,0.2,0,0,1,1,1,1,0,5,3,1,1,38.86297409,2.913793103,329.9540437,0.037746222,21,0.343195266,18.3307802,113.2386659,1,0,0,2,0.2,13,8,29,13,5,0,5,0
157,5,12,19,1,7,20,6,0.230769231,12,1,4,0.666666667,33,1,0,26,2,3,0.5,37.79363238,10.43674699,4116.697397,0.13148086,49,0.095815296,228.705411,394.4425789,0.166666667,10,10,29,0.157894737,35,14,166,99,38,0.235294119,27,0
54,0,10,7,7,0,12,6,0.25,10,1,2,0.333333333,32,3,0.4,24,1,1,0.166666667,33.7216288,14.86956522,7455.985994,0.167141986,65,0.067251462,414.2214441,501.4259586,0.5,6,6,28,0.25,36,29,115,95,24,0.225806445,31,0
862,1,6,8,13,20,12,3,0.2,6,2,2,0.666666667,16,1,0,15,2,2,0.666666667,38.81591638,5.922077922,1361.313272,0.076623627,33,0.168859649,75.62851509,229.8708814,0.333333333,6,6,16,0.083333333,19,14,77,48,36,0.6875,28,1
790,4.552096421,3.402795228,4.701397614,0,3.284626245,3.402795228,1.850698807,0.113655048,3.402795228,0.850698807,1,0.574650596,15.65628926,1,0,16.10419284,2,1.850698807,1,31.84186167,9.279307058,2740.807756,0.098471929,42.85069881,0.107769227,152.2670976,295.4157869,0.574650596,1.701397614,1.701397614,15.80559046,0.081602004,25.55209642,17.29860239,69.41677137,50.20838568,23.94091551,0.099534132,16.10419284,1
694,2,0.80720047,3.789199294,0,8.753196942,0.80720047,1,0.096330907,0.80720047,0.403600235,1,1,7.80720047,1,0,10.40360024,1,1,1,31.59197442,13.03781728,5257.768037,0.135393104,54.21080071,0.077207593,292.0982243,406.1793113,1,0.403600235,0.403600235,8.80720047,0.05176704,38.59639976,15.61440094,113.4988195,74.75841035,21.15679718,0.381533205,10.40360024,1
243,3,8,15,0,19,16,5,0.217391304,8,2,3,0.6,29,2,0.25,23,3,4,0.8,39.62954144,12.6292517,6320.832541,0.166830485,64,0.079181255,351.1573634,500.4914536,0.4,8,8,26,0.111111111,47,17,147,79,45,0.452380955,23,0
281,0,22,20,0,1,22,12,0.307692308,18,1,9,0.75,66,2,0.090909091,39,3,6,0.5,42.6798569,14.33703704,8772.871516,0.203967563,70,0.069749419,487.3817509,611.902689,0.166666667,11,11,56,0.3,49,21,270,158,40,0.025,39,0
468,0,0,0,0,0,0,1,0.25,0,0,1,1,1,1,0,4,2,1,1,20.97287816,3.666666667,281.9686953,0.025633518,17,0.272727273,15.66492751,76.90055325,1,0,0,2,0.25,8,9,12,11,4,0,4,0
6,2,2,1,0,0,2,1,0.142857143,2,1,1,1,5,1,0,7,1,1,1,21.92438412,5.47826087,657.9801933,0.040035832,22,0.182539683,36.55445519,120.1074956,1,1,1,6,0.111111111,12,10,23,21,9,0,7,0
415,0,0,0,1,0,0,1,0.2,0,0,1,1,1,1,0,5,3,1,1,29.31347637,3.818181818,427.3468787,0.037308061,22,0.261904762,23.74149326,111.9241825,1,0,0,2,0.2,14,8,22,12,5,0.166666672,6,0
859,0,0,0,0,15.05980662,0,1,0.25,0,0,1,1,1,1,0,4,1,1,1,25.25001254,3.491946171,307.3206668,0.029274411,18.47009669,0.288111387,17.07337038,87.82323192,1,0,0,2,0.052611648,11,7.470096691,16.52990331,10.47009669,19.05980662,0.789553419,4,1
808,4,8,22,0,34,10,5,0.119047619,8,1,1,0.2,47,2,0.25,42,2,1,0.2,38.35702595,17.05504587,11157.08418,0.218060279,77,0.058633674,619.8380103,654.1808371,0.4,5,5,45,0.0625,52,25,218,143,80,0.447368413,42,1
471,0,2,28,0,0,2,2,0.074074074,2,1,1,0.5,26,1,0,27,2,2,1,29.0718184,20.19642857,11858.2705,0.195715635,72,0.049513705,658.7928058,587.1469039,0.5,1,1,26,0.074074074,58,14,168,117,27,0,27,0
285,0,4,3,0,14,2,3,0.25,2,1,1,0.333333333,13,1,0,12,2,1,0.333333333,31.86890367,9.381355932,2804.777086,0.099657843,45,0.106594399,155.8209492,298.9735285,0.333333333,1,1,12,0.115384615,27,18,59,41,26,0.538461566,12,0
892,1.946642647,0.240108088,4.946642647,0.880396324,14.08003603,0,1.293465441,0.110137897,0,0,1,0.975544547,7.533573529,1,0,10.40018015,1.026678676,1,0.975544547,27.09025815,13.88468736,5222.540388,0.125378418,53,0.072022933,290.1411327,376.1352537,0.975544547,0,0,8.320144118,0.045057914,38.86660662,14.13339338,79.83992794,57.05335735,26.42685882,0.585556537,11.28057647,1
600,0,0,0.704568432,0.295431568,25.36446356,0,1,0.091130232,0,0,1,1,4.818273729,1,0,13.13604195,2.590863136,1,1,29.16320216,7.00895914,1427.269499,0.067956216,32.81827373,0.14289084,79.29274994,203.8686491,1,0,0,5.818273729,0.028501927,19.1137053,13.70456843,43.06802097,32.13604195,38.50050551,0.575964403,13.43147352,1
827,2.838396451,5.353585802,3.676792901,1.838396451,2.908863889,7.353585802,2.838396451,0.184133259,5.353585802,1.161603549,1,0.360267258,19.38396451,1,0,15.3535858,1.838396451,1,0.360267258,33.03409348,7.587619597,1900.99263,0.08352897,36.6464142,0.131801201,105.6107017,250.5869085,0.360267258,3.676792901,3.676792901,18.54556806,0.142478609,22.83839645,13.80801775,69.06075741,45.86877515,21.10084614,0.1922025,17.19198225,1
553,0,0,0,2,38,0,1,0.2,0,0,1,1,1,1,0,5,2,1,1,26.18274785,4.065217391,432.6958929,0.035479521,20,0.245989305,24.03866072,106.4385619,1,0,0,2,0.023255814,11,9,23,17,43,0.888888896,7,0
223,0,0,0,1,10,0,1,0.25,0,0,1,1,1,1,0,4,1,1,1,18.24342188,3.2,186.8126401,0.01945965,14,0.3125,10.37848,58.37895002,1,0,0,2,0.071428571,8,6,10,8,14,0.733333349,5,0
472,2,0,1,0,4,0,1,0.1,0,0,1,1,6,1,0,10,2,1,1,30.91271607,6.104651163,1152.01695,0.062903783,31,0.163809524,64.00094169,188.7113481,1,0,0,7,0.0625,21,10,43,25,16,0.285714298,10,0
